# description; Input: transcripts.gtf; PTC_to_EJ: 50nt
NMDer_ID	Gene_ID	Original_Gene_ID	Match_level	Gene_Name	Transcript_ID	Ref_TX_ID	Chrom	Strand	Tx_coordinates	annotatedStart	predictedStart	Alt_tx	ORF_considered	is_NMD	dist_to_lastEJ	uORF	threeUTR	uATG	uATG_frame	Shared_coverage	CE	MX	A5	A3	AF	AL	ATS	APA	IR	ce	mx	a5	a3	af	al	ats	apa	ir
NMDer0000003	ENSMUSG00000057789.13	MSTRG.9591	1	Bak1	ENSMUST00000143158.1	ENSMUST00000078691.11	chr17	-	27022742-27022786;27022439-27022582;27020666-27020902	FALSE	FALSE	TRUE	27022742-27022770;27022439-27022582;27020806-27020902	FALSE	97	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	27021167-27021347	NA	NA	27020903-27021035	27022787-27022877;27025793-27025893;27028411-27029009	27019810-27020665	NA	NA	NA
NMDer0000007	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000162004.7	ENSMUST00000026194.14	chr19	-	42779914-42779978;42778554-42778646;42778122-42778283;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42757793-42757906;42756258-42756340;42755105-42755796	TRUE	FALSE	FALSE	42778122-42778238;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42757793-42757906;42756258-42756340;42755634-42755796	FALSE	163	NA	NA	NA	NA	0	NA	NA	NA	42778239-42778283	42779914-42779978	42755105-42755195	NA	NA	NA	NA	NA	NA	NA	42778647	NA	NA	NA	NA
NMDer0000011	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000159974.7	ENSMUST00000162004.7	chr19	-	42779914-42779959;42778554-42778646;42778122-42778283;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42756258-42757906;42755196-42755796	TRUE	FALSE	TRUE	42778122-42778238;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42757757-42757906	TRUE	-1499	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	42756341-42757792	NA	NA	NA	NA	42779960-42779978	42755105-42755195	NA	NA	NA
NMDer0000019	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000026194.14	ENSMUST00000069298.12	chr19	-	42778554-42778647;42778122-42778238;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42757793-42757906;42756258-42756340;42755196-42755796	TRUE	FALSE	TRUE	42778122-42778238;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42757793-42757906;42756258-42756340;42755634-42755796	FALSE	163	NA	NA	NA	NA	0	NA	NA	NA	NA	42778647	42755196-42755796;42756258-42756340;42757793-42757906	NA	NA	NA	NA	NA	42766686-42766709	42778239-42778283	42779914-42779965	42758081-42759307	NA	NA	NA
NMDer0000023	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000160455.7	ENSMUST00000160455.7	chr19	-	42779738-42779976;42778554-42778646;42778122-42778283;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766686-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42757793-42757906;42756258-42756340;42755198-42755796	TRUE	FALSE	FALSE	42778122-42778238;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766686-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42757793-42757906;42756258-42756340;42755634-42755796	FALSE	163	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMDer0000027	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000161252.1	ENSMUST00000026194.14	chr19	-	42757665-42757829;42756258-42756340;42755583-42755796	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	42757665-42757792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42757830-42757906;42759706-42759850;42760364-42760429;42760510-42760644;42761012-42761073;42762096-42762275;42762393-42762560;42763795-42763844;42765913-42765982;42766130-42766216;42766710-42766833;42767118-42767278;42769606-42769714;42770754-42770896;42771117-42771254;42778122-42778238;42778554-42778647	42755196-42755582	NA	NA	NA
NMDer0000031	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000069298.12	ENSMUST00000162004.7	chr19	-	42779914-42779965;42778554-42778646;42778122-42778283;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766686-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42758081-42759307	TRUE	FALSE	TRUE	42778122-42778238;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766686-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42759179-42759307	FALSE	129	NA	NA	NA	NA	0	NA	NA	42766686-42766709	NA	NA	42758081-42759307	NA	NA	NA	NA	NA	NA	NA	42779966-42779978	42755105-42755796;42756258-42756340;42757793-42757906	NA	NA	NA
NMDer0000039	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000162061.1	ENSMUST00000069298.12	chr19	-	42778122-42778263;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42758480-42759307	TRUE	FALSE	TRUE	42778122-42778238;42771117-42771254;42770754-42770896;42769606-42769714;42767118-42767278;42766710-42766833;42766130-42766216;42765913-42765982;42763795-42763844;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760364-42760429;42759706-42759850;42759179-42759307	FALSE	129	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42766686-42766709	NA	42778264-42778283;42778554-42778646;42779914-42779965	42758081-42758479	NA	NA	NA
NMDer0000043	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000160621.1	ENSMUST00000160455.7	chr19	-	42763795-42763876;42762393-42762560;42762096-42762275;42761012-42761073;42760510-42760644;42760365-42760429	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	42763845-42763876	NA	NA	NA	NA	NA	NA	NA	NA	42765913-42765982;42766130-42766216;42766686-42766833;42767118-42767278;42769606-42769714;42770754-42770896;42771117-42771254;42778122-42778283;42778554-42778646;42779738-42779976	42755198-42755796;42756258-42756340;42757793-42757906;42759706-42759850;42760364	NA	NA	NA
NMDer0000047	ENSMUSG00000025188.15	MSTRG.11511	1	Hps1	ENSMUST00000161761.1	ENSMUST00000026194.14	chr19	-	42769606-42769810;42767118-42767278;42766811-42766833	FALSE	FALSE	TRUE	42769606-42769801;42767175-42767278	TRUE	-57	NA	NA	NA	NA	0	NA	NA	NA	NA	42769715-42769810	NA	NA	NA	NA	NA	NA	NA	NA	42770754-42770896;42771117-42771254;42778122-42778238;42778554-42778647	42755196-42755796;42756258-42756340;42757793-42757906;42759706-42759850;42760364-42760429;42760510-42760644;42761012-42761073;42762096-42762275;42762393-42762560;42763795-42763844;42765913-42765982;42766130-42766216;42766710-42766810	NA	NA	NA
