NMDer_ID	Gene_ID	Gene_Name	Transcript_ID	Ref_TX_ID	Chrom	Strand	is_NMD	CE	MX	A5	A3	AF	AL	ATS	APA	IR	ce	mx	a5	a3	af	al	ats	apa	ir
NMDer0000001	ENSMUSG00000057789.13	Bak1	ENSMUST00000078691.11	ENSMUST00000078691.11	chr17	-	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMDer0000002	ENSMUSG00000057789.13	Bak1	ENSMUST00000025034.11	ENSMUST00000078691.11	chr17	-	TRUE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NMDer0000003	ENSMUSG00000057789.13	Bak1	ENSMUST00000143158.1	ENSMUST00000078691.11	chr17	-	FALSE	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0
NMDer0000004	ENSMUSG00000057789.13	Bak1	ENSMUST00000133448.1	ENSMUST00000078691.11	chr17	-	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0
NMDer0000005	ENSMUSG00000024769.7	Cdc42bpg	ENSMUST00000141854.1	ENSMUST00000025681.7	chr19	+	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	31	4	0	0	0
NMDer0000007	ENSMUSG00000025188.15	Hps1	ENSMUST00000162004.7	ENSMUST00000026194.14	chr19	-	FALSE	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0
NMDer0000012	ENSMUSG00000025188.15	Hps1	ENSMUST00000159974.7	ENSMUST00000026194.14	chr19	-	TRUE	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0
NMDer0000016	ENSMUSG00000025188.15	Hps1	ENSMUST00000026194.14	ENSMUST00000162004.7	chr19	-	FALSE	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0
NMDer0000022	ENSMUSG00000025188.15	Hps1	ENSMUST00000160455.7	ENSMUST00000026194.14	chr19	-	FALSE	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
NMDer0000027	ENSMUSG00000025188.15	Hps1	ENSMUST00000161252.1	ENSMUST00000026194.14	chr19	-	TRUE	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	1	1	0
NMDer0000035	ENSMUSG00000025188.15	Hps1	ENSMUST00000069298.12	ENSMUST00000162061.1	chr19	-	FALSE	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0
NMDer0000039	ENSMUSG00000025188.15	Hps1	ENSMUST00000162061.1	ENSMUST00000069298.12	chr19	-	FALSE	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0
